icao,iata,name,city,country,latitude,longitude,timezone
LECO,LCG,A Coruna Airport,,Spain,43.302059,-8.37725,
EDKA,AAH,Aachen Merzbruck Airport,,Germany,50.821899,6.184759,
EKYT,AAL,Aalborg Airport,,Denmark,57.095112,9.855172,
EKAH,AAR,Aarhus Airport,,Denmark,56.303295,10.619129,
EKAC,QEA,Aarhus Sea Airport,,Denmark,56.151993,10.247725,
BGAA,JEG,Aasiaat Airport,,Greenland,68.72184,-52.784698,
OIAA,ABD,Abadan Airport,,Iran,30.371111,48.228329,
NGAB,ABF,Abaiang Airport,,Kiribati,1.79904,173.040268,
UNAA,ABA,Abakan International Airport,,Russia,53.740002,91.385002,
EIAB,QIH,Abbeyshrule Airport,,Ireland,53.591366,-7.643234,
CYXX,YXX,Abbotsford International Airport,,Canada,49.025269,-122.360001,
NGTB,AEA,Abemama Airport,,Kiribati,0.49094,173.829086,
EGPD,ABZ,Aberdeen International Airport,,United Kingdom,57.201939,-2.19777,
KAPG,APG,Aberdeen Phillips Army Airfield,,United States,39.465496,-76.168198,
KABR,ABR,Aberdeen Regional Airport,,United States,45.439999,-98.419998,
OEAB,AHB,Abha Regional Airport,,Saudi Arabia,18.24036,42.65662,
DIAP,ABJ,Abidjan Port Bouet Airport,,Ivory Coast,5.261386,-3.92629,
KABI,ABI,Abilene Regional Airport,,United States,32.411301,-99.681801,
YABI,ABG,Abingdon Downs Airport,,Australia,-17.607372,143.183395,
KVJI,VJI,Abingdon Virginia Highlands Airport,,United States,36.686111,-82.033333,
OMAD,AZI,Abu Dhabi Al Bateen Executive Airport,,United Arab Emirates,24.428329,54.45808,
OMAM,DHF,Abu Dhabi Al Dhafra Air Base,,United Arab Emirates,24.248199,54.547699,
OMAA,AUH,Abu Dhabi Zayed International Airport,,United Arab Emirates,24.442856,54.651474,
OIBA,AEU,Abu Musa Island Airport,,Iran,25.8757,55.033001,
HEBL,ABS,Abu Simbel Airport,,Egypt,22.37595,31.611719,
DNAA,ABV,Abuja Nnamdi Azikiwe International Airport,,Nigeria,9.006792,7.263172,
SKAD,ACD,Acandi Alcides Fernandez Airport,,Colombia,8.498886,-77.27417,
MMAA,ACA,Acapulco International Airport,,Mexico,16.757059,-99.753899,
DGAA,ACC,Accra Kotoka International Airport,,Ghana,5.605186,-0.16678,
KADH,ADT,Ada Municipal Airport,,United States,34.804298,-96.671303,
HCAD,AAD,Adado Airport,,Somalia,6.09578,46.637146,
PADK,ADK,Adak Airport,,United States,51.87796,-176.645996,
VIAX,AIP,Adampur Airport,,India,31.433056,75.760559,
LTAG,UAB,Adana Incirlik Airport,,Turkey,37.001099,35.424721,
LTAF,ADA,Adana Sakirpasa Airport,,Turkey,36.982159,35.28038,
HAAB,ADD,Addis Ababa Bole Airport,,Ethiopia,8.977889,38.799309,
YPAD,ADL,Adelaide Airport,,Australia,-34.947392,138.533417,
YPPF,QBP,Adelaide Parafield Airport,,Australia,-34.793682,138.635376,
OYAA,ADE,Aden International Airport,,Yemen,12.82954,45.02879,
LTCP,ADF,Adiyaman Airport,,Turkey,37.731361,38.468929,
DAUA,AZR,Adrar Airport,,Algeria,27.83758,-0.18641,
KADG,ADG,Adrian Lenawee County Airport,,United States,41.86607,-84.078293,
KAFO,AFO,Afton Municipal Airport,,United States,42.711201,-110.942001,
DRZA,AJY,Agades Mano Dayak International Airport,,Niger,16.96599,8.000114,
